activation_id,active,technique,technique_family,target_type,target_key,strength,polarity,mapped_sphere,mapping_reason,target_weight,family_weight,polarity_modifier,expected_amount,status
t2n__NEPTUNE__OPPOSITION__SATURN,True,transit_to_natal,transit,planet,SATURN,0.9103,tense,money_security_resources,planet SATURN found in spheres.money_security_resources.planets,0.6,1.0,1.0,0.5462,mapped
t2n__NEPTUNE__OPPOSITION__SATURN,True,transit_to_natal,transit,planet,SATURN,0.9103,tense,body_energy_health,planet SATURN found in spheres.body_energy_health.planets,0.5,1.0,1.0,0.4551,mapped
t2n__NEPTUNE__OPPOSITION__SATURN,True,transit_to_natal,transit,planet,SATURN,0.9103,tense,home_family_roots,planet SATURN found in spheres.home_family_roots.planets,0.5,1.0,1.0,0.4551,mapped
t2n__NEPTUNE__OPPOSITION__SATURN,True,transit_to_natal,transit,planet,SATURN,0.9103,tense,inner_background_unconscious,planet SATURN found in spheres.inner_background_unconscious.planets,0.5,1.0,1.0,0.4551,mapped
t2n__NEPTUNE__OPPOSITION__SATURN,True,transit_to_natal,transit,planet,SATURN,0.9103,tense,crisis_transformation_control,planet SATURN found in spheres.crisis_transformation_control.planets,0.6,1.0,1.0,0.5462,mapped
t2n__PLUTO__SQUARE__SUN,True,transit_to_natal,transit,planet,SUN,0.5628,tense,work_status_achievement,planet SUN found in spheres.work_status_achievement.planets,0.5,1.0,1.0,0.2814,mapped
t2n__PLUTO__SQUARE__SUN,True,transit_to_natal,transit,planet,SUN,0.5628,tense,body_energy_health,planet SUN found in spheres.body_energy_health.planets,0.8,1.0,1.0,0.4502,mapped
t2n__PLUTO__OPPOSITION__MOON,True,transit_to_natal,transit,planet,MOON,0.6124,tense,thinking_speech_learning,planet MOON found in spheres.thinking_speech_learning.planets,0.3,1.0,1.0,0.1837,mapped
t2n__PLUTO__OPPOSITION__MOON,True,transit_to_natal,transit,planet,MOON,0.6124,tense,relationships_partnership,planet MOON found in spheres.relationships_partnership.planets,0.6,1.0,1.0,0.3674,mapped
t2n__PLUTO__OPPOSITION__MOON,True,transit_to_natal,transit,planet,MOON,0.6124,tense,body_energy_health,planet MOON found in spheres.body_energy_health.planets,0.6,1.0,1.0,0.3674,mapped
t2n__PLUTO__OPPOSITION__MOON,True,transit_to_natal,transit,planet,MOON,0.6124,tense,home_family_roots,planet MOON found in spheres.home_family_roots.planets,1.0,1.0,1.0,0.6124,mapped
t2n__PLUTO__OPPOSITION__MOON,True,transit_to_natal,transit,planet,MOON,0.6124,tense,inner_background_unconscious,planet MOON found in spheres.inner_background_unconscious.planets,0.6,1.0,1.0,0.3674,mapped
t2n__PLUTO__TRINE__VENUS,True,transit_to_natal,transit,planet,VENUS,0.2255,supportive,relationships_partnership,planet VENUS found in spheres.relationships_partnership.planets,1.0,1.0,1.0,0.2255,mapped
t2n__PLUTO__TRINE__VENUS,True,transit_to_natal,transit,planet,VENUS,0.2255,supportive,money_security_resources,planet VENUS found in spheres.money_security_resources.planets,0.8,1.0,1.0,0.1804,mapped
t2n__PLUTO__TRINE__VENUS,True,transit_to_natal,transit,planet,VENUS,0.2255,supportive,home_family_roots,planet VENUS found in spheres.home_family_roots.planets,0.4,1.0,1.0,0.0902,mapped
t2n__PLUTO__TRINE__JUPITER,True,transit_to_natal,transit,planet,JUPITER,0.3545,supportive,thinking_speech_learning,planet JUPITER found in spheres.thinking_speech_learning.planets,0.4,1.0,1.0,0.1418,mapped
t2n__PLUTO__TRINE__JUPITER,True,transit_to_natal,transit,planet,JUPITER,0.3545,supportive,work_status_achievement,planet JUPITER found in spheres.work_status_achievement.planets,0.3,1.0,1.0,0.1063,mapped
t2n__PLUTO__TRINE__JUPITER,True,transit_to_natal,transit,planet,JUPITER,0.3545,supportive,money_security_resources,planet JUPITER found in spheres.money_security_resources.planets,0.7,1.0,1.0,0.2481,mapped
t2n__PLUTO__TRINE__JUPITER,True,transit_to_natal,transit,planet,JUPITER,0.3545,supportive,meaning_expansion_vector,planet JUPITER found in spheres.meaning_expansion_vector.planets,1.0,1.0,1.0,0.3545,mapped
